"","id","PC","DE","QD","LE","TY","SP","FF","JF","CN"
"1",1,3211,"Strada Iancu Nicolae","-",0.04833,"TR",26.48,30,1.02021,0.89
"2",1,3212,"Şoseaua Bucureşti-Ploieşti","-",2.02487,"TR",40.93,46.1,0.97589,0.95
"3",1,3216,"Şoseaua Nicolae Titulescu","+",0.01957,"TR",19.26,37.5,8.15484,0.85
"4",1,8011,"Strada Teodosie Rudeanu","+",0.06241,"TR",7.97,36.9,8.38112,0.97
"5",1,8010,"Strada G-Ral. Barbu Vlădoianu","+",0.11373,"TR",22.4,39.8,3.14538,0.92
"6",1,3215,"Strada Frosa Sarandy","+",0.18633,"TR",41.1,40,0,0.92
"7",1,8009,"Strada Scărlătescu","+",0.07659,"TR",45.32,40,0,0.88
"8",1,3214,"Bulevardul Ion Mihalache","+",0.2141,"TR",13.3,30.1,3.98701,0.92
"9",1,3212,"Şoseaua Bucureşti-Ploieşti","+",0.04355,"TR",36.86,36.7,0,0.78
"10",1,3211,"Strada Iancu Nicolae","+",2.01521,"TR",17.5,52.7,8.16957,0.9
"11",1,3214,"Bulevardul Ion Mihalache","-",0.0341,"TR",11.74,29.1,2.71828,0.77
"12",1,8009,"Strada Scărlătescu","-",0.19013,"TR",43.03,38,0,0.77
"13",1,3215,"Strada Frosa Sarandy","-",0.07546,"TR",45.56,40,0,0.77
"14",1,8010,"Strada G-Ral. Barbu Vlădoianu","-",0.18231,"TR",8.46,38,8.83598,0.77
"15",1,8011,"Strada Teodosie Rudeanu","-",0.11229,"TR",3.75,38.2,9.59299,0.81
"16",1,3216,"Şoseaua Nicolae Titulescu","-",0.08887,"TR",7.48,34.5,3.14159,0.89
"17",1,8674,"Aleea Haiducului","+",0.04881,"TR",9.67,40,2.71828,0.97
"18",1,3220,"Strada Sibiu","+",0.06704,"TR",10.76,35.6,3.14159,0.97
"19",1,8054,"Aleea Compozitorilor","+",0.09942,"TR",21.03,37,3.04924,0.75
"20",1,8053,"Strada Vlădeasa","+",0.18758,"TR",28.45,40,1.85791,0.75
"21",1,8052,"Strada Constantin Titel Petrescu","+",0.21742,"TR",24.48,35.5,2.69861,0.79
"22",1,8051,"Strada Serg. Postolache Alexandru","+",0.09386,"TR",25.54,29.7,1.21661,0.82
"23",1,8050,"Strada Valea Prahovei","+",0.1568,"TR",39.1,39.8,0.15354,0.81
"24",1,8049,"Strada Bozieni","+",0.20392,"TR",35.74,40,0.92655,0.81
"25",1,3219,"Strada Braşov","+",0.16337,"TR",11.18,31.5,3.14159,0.98
"26",1,3225,"Strada Alexandru Şerbănescu","+",0.04719,"TR",8.21,30,8.15484,0.95
"27",1,7896,"Strada Ocna Sibiului","+",0.21077,"TR",5.91,30,8.38262,0.97
"28",1,7895,"Strada Promoroaca","+",0.20094,"TR",6.11,30,8.34185,0.98
"29",1,3224,"Strada Biharia","+",0.13932,"TR",10.05,32.3,8.29782,0.97
"30",1,7894,"Bulevardul Ficusului","+",0.29401,"TR",11.72,39.5,7.71754,0.97
"31",1,3223,"Strada Belizarie","+",0.13571,"TR",24.06,40.6,2.90002,0.98
"32",1,7893,"Strada Neagoe Vodă","+",0.1421,"TR",29.8,40,1.56515,0.97
"33",1,3222,"Şoseaua Bucuresti-Ploieşti (DN1)","+",0.2565,"TR",18.61,32.9,2.98495,0.97
"34",1,3219,"Strada Braşov","-",0.01694,"TR",35.98,29,0,0.91
"35",1,8049,"Strada Bozieni","-",0.1843,"TR",37.95,38.3,0.07884,0.88
"36",1,8050,"Strada Valea Prahovei","-",0.1641,"TR",23.98,40,2.82951,0.86
"37",1,8051,"Strada Serg. Postolache Alexandru","-",0.1568,"TR",22.24,40,3.20786,0.85
"38",1,8052,"Strada Constantin Titel Petrescu","-",0.09386,"TR",25.79,29,0.96335,0.83
"39",1,8053,"Strada Vlădeasa","-",0.21742,"TR",32.17,35.5,0.81554,0.92
"40",1,8054,"Aleea Compozitorilor","-",0.18758,"TR",42.93,40,0,0.94
"41",1,3220,"Strada Sibiu","-",0.11001,"TR",38.38,38.1,0,0.93
"42",1,8674,"Aleea Haiducului","-",0.10527,"TR",35.35,39.1,0.83412,0.97
"43",1,3222,"Şoseaua Bucuresti-Ploieşti (DN1)","-",0.07659,"TR",25.91,33.7,1.23577,0.88
"44",1,7893,"Strada Neagoe Vodă","-",0.17991,"TR",23.81,40,2.86774,0.93
"45",1,3223,"Strada Belizarie","-",0.1421,"TR",22.26,40,3.20522,0.94
"46",1,7894,"Bulevardul Ficusului","-",0.14657,"TR",21.39,40,3.39446,0.93
"47",1,3224,"Strada Biharia","-",0.32218,"TR",22.69,40,3.10985,0.96
"48",1,7895,"Strada Promoroaca","-",0.10029,"TR",25.85,30,1.20325,0.96
"49",1,7896,"Strada Ocna Sibiului","-",0.20094,"TR",30,30,0,0.87
"50",1,3225,"Strada Alexandru Şerbănescu","-",0.25797,"TR",24.62,29.6,1.46228,0.91
"51",1,3229,"P-ţa Arcul de Triumf","+",0.08197,"TR",17.06,28.8,2.63847,0.99
"52",1,3228,"Bulevardul Mărăşti","+",0.29288,"TR",9.97,34.1,8.41186,0.97
"53",1,7057,"Strada Nicolae Racotă","+",0.20556,"TR",26.46,38.1,1.97141,0.8
"54",1,3227,"Bulevardul Ion Mihalache","+",0.19412,"TR",21.61,33.9,2.38173,0.8
"55",1,3227,"Bulevardul Ion Mihalache","-",0.02982,"TR",27.14,30,0,0.87
"56",1,7057,"Strada Nicolae Racotă","-",0.14645,"TR",28.16,38.6,1.67666,0.87
"57",1,3228,"Bulevardul Mărăşti","-",0.26964,"TR",13.89,33.1,5.14159,0.97
"58",1,3229,"P-ţa Arcul de Triumf","-",0.31137,"TR",5.43,29.6,9.07327,0.91
"59",1,3235,"Şoseaua Nordului","+",0.01759,"TR",39.25,40,0.16387,0.95
"60",1,3234,"Bulevardul Beijing","+",0.54774,"TR",22.44,34.4,3.02356,0.96
"61",1,3233,"P-ţa Charles de Gaulle","+",0.64842,"TR",8.69,35.3,8.6926,0.96
"62",1,18767,"Strada Doctor Ion Cantacuzino","+",0.26803,"TR",55.31,53.7,0,0.77
"63",1,18768,"Strada Drăghiceanu Virgil","+",0.22577,"TR",54.09,60,0.85714,0.77
"64",1,18766,"Strada Muzeul Zambaccian","+",0.05339,"TR",36.74,55,2.41262,0.77
"65",1,3232,"P-ţal Aviatorilor","+",0.14545,"TR",25.82,39.6,2.36683,0.79
"66",1,18783,"Strada Rabat","+",0.09111,"TR",54.81,54,0,0.8
"67",1,8125,"Aleea Alexandru","+",0.35781,"TR",60,59.9,0,0.8
"68",1,3231,"P-ţa Victoriei","+",0.23914,"TR",18.34,39.5,3.99752,0.8
"69",1,3231,"P-ţa Victoriei","-",0.04969,"TR",28.21,15,0,0.85
"70",1,8125,"Aleea Alexandru","-",0.3694,"TR",15.99,49.9,7.14159,0.97
"71",1,18783,"Strada Rabat","-",0.35781,"TR",8.86,56.9,9.24329,0.99
"72",1,3232,"P-ţal Aviatorilor","-",0.13168,"TR",16.47,42.5,3.14159,0.99
"73",1,18766,"Strada Muzeul Zambaccian","-",0.11025,"TR",19.45,57.2,7.27797,0.99
"74",1,18768,"Strada Drăghiceanu Virgil","-",0.05339,"TR",12.6,60,8.60811,0.99
"75",1,18767,"Strada Doctor Ion Cantacuzino","-",0.22577,"TR",9.52,60,8.92065,0.99
"76",1,3233,"P-ţa Charles de Gaulle","-",0.38013,"TR",17.49,36.9,5.46599,0.98
"77",1,3234,"Bulevardul Beijing","-",0.54696,"TR",47.2,48.2,0.18039,0.85
"78",1,3235,"Şoseaua Nordului","-",0.51471,"TR",9.24,33.7,8.52287,0.96
"79",1,3237,"P-ţa E. Hurmuzachi","-",0.05259,"TR",18.94,24.9,1.03526,0.91
"80",1,8081,"Şoseaua Câmpia Libertăţii","-",0.57334,"TR",14.38,40.5,8.02984,0.92
"81",1,8082,"Aleea Frt. Constantin Tudor","-",0.22655,"TR",24.71,44.8,3.89937,0.89
"82",1,3238,"Strada Bucovina","-",0.37785,"TR",42.68,49.9,1.25735,0.88
"83",1,8083,"Strada Murgeni","-",0.14326,"TR",16.4,50,7.3775,0.79
"84",1,8084,"Strada Vasile Şerbănică","-",0.08994,"TR",7.55,48,8.85341,0.8
"85",1,8085,"Strada Sold. Nicolae T. Sebe","-",0.16417,"TR",6.3,39.2,9.21311,0.86
"86",1,8086,"Strada Pescăruşului","-",0.01126,"TR",11.79,40,7.78117,0.85
"87",1,3239,"Bulevardul Chişinău","-",0.14472,"TR",13.16,30.9,3.14159,0.88
"88",1,8087,"Aleea Budacu","-",0.19489,"TR",26.26,40,2.33574,0.86
"89",1,8088,"Strada Baia De Aramă","-",0.24247,"TR",27.91,40.4,2.04356,0.88
"90",1,3240,"Strada Morarilor","-",0.27823,"TR",17.05,34.8,3.14159,0.89
"91",1,8089,"Aleea Textiliştilor","-",0.17734,"TR",9.48,39.6,8.27234,0.85
"92",1,3241,"Bulevardul 1 Decembrie 1918","-",0.17516,"TR",10.27,29.8,3.14159,0.88
"93",1,8090,"Strada Ion Sahighian","-",0.47273,"TR",38.86,51.3,1.60096,0.79
"94",1,3242,"Şoseaua Dudesti Pantelimon / Strada Industriilor","-",0.68271,"TR",19.45,35.9,3.98354,0.99
"95",1,3242,"Şoseaua Dudesti Pantelimon / Strada Industriilor","+",0.08568,"TR",14.97,25.7,3.63067,0.93
"96",1,8090,"Strada Ion Sahighian","+",0.58826,"TR",31.46,40,1.20475,0.82
"97",1,3241,"Bulevardul 1 Decembrie 1918","+",0.47228,"TR",11.09,36.1,8.32172,0.91
"98",1,8089,"Aleea Textiliştilor","+",0.1719,"TR",22.21,37.6,2.86535,0.89
"99",1,3240,"Strada Morarilor","+",0.29027,"TR",21.12,36.3,2.91824,0.92
"100",1,8088,"Strada Baia De Aramă","+",0.17604,"TR",30.16,43.9,2.12797,0.98
"101",1,8087,"Aleea Budacu","+",0.24139,"TR",13.19,42.4,7.14159,0.99
"102",1,3239,"Bulevardul Chişinău","+",0.19529,"TR",7.17,32.9,8.86489,0.98
"103",1,8086,"Strada Pescăruşului","+",0.14471,"TR",8.27,35.3,8.76453,0.9
"104",1,8085,"Strada Sold. Nicolae T. Sebe","+",0.01126,"TR",22.9,40,3.06548,0.89
"105",1,8084,"Strada Vasile Şerbănică","+",0.16341,"TR",24.08,42.6,3.16742,0.89
"106",1,8083,"Strada Murgeni","+",0.08995,"TR",29.66,50,3.01527,0.89
"107",1,3238,"Strada Bucovina","+",0.14194,"TR",41.72,50,1.4397,0.89
"108",1,8082,"Aleea Frt. Constantin Tudor","+",0.37912,"TR",43.28,50,1.16787,0.9
"109",1,8081,"Şoseaua Câmpia Libertăţii","+",0.2255,"TR",23.04,42.1,3.31652,0.99
"110",1,3237,"P-ţa E. Hurmuzachi","+",0.63067,"TR",22.85,39.2,3.62635,0.99
"111",1,3244,"Şoseaua Pantelimon","+",0.60949,"TR",24.32,35.9,2.80491,0.99
"112",1,3244,"Şoseaua Pantelimon","-",0.1018,"TR",30,30,0,0.84
"113",1,3245,"Şoseaua Gara Căţelu","-",0.56087,"TR",21.98,32.8,2.8686,0.93
"114",1,3249,"Şoseaua Chitilei","-",0.05859,"TR",22.13,32,1.86817,0.84
"115",1,7001,"Strada Prahova","-",0.09934,"TR",40,40,0,0.82
"116",1,7002,"Strada Pajurei","-",0.27143,"TR",30.64,38.2,1.72074,0.83
"117",1,3250,"Strada Jiului","-",0.41697,"TR",24.44,35.5,2.70803,0.9
"118",1,7003,"Strada Crinului","-",0.15767,"TR",28.76,39.9,1.77346,0.84
"119",1,7004,"Strada Bârlogeni","-",0.136,"TR",33.09,36.6,0.83374,0.8
"120",1,7005,"Strada Subcetate","-",0.22157,"TR",19.59,40,3.78406,0.81
"121",1,3251,"Strada Berveni","-",0.28911,"TR",37.5,34.3,0,0.88
"122",1,7006,"Strada Palisandrului","-",0.14376,"TR",50,40,0,0.9
"123",1,7007,"Strada Jimbolia","-",0.1391,"TR",50,40,0,0.9
"124",1,7008,"Strada Durău","-",0.14337,"TR",50,40,0,0.9
"125",1,7009,"Strada Episcopul Vulcan","-",0.21831,"TR",15.18,37.6,3.14159,0.91
"126",1,3252,"Bulevardul Laminorului","-",0.10456,"TR",20.13,35.5,3.03086,0.87
"127",1,7010,"Strada Nazarcea","-",0.25649,"TR",32.48,58.7,3.44019,0.86
"128",1,7011,"Strada Bălăria","-",0.16626,"TR",22.95,40,3.05436,0.86
